id,title,type,release_year,decade,age_certification,runtime,runtime_is_missing,seasons,imdb_score,imdb_votes,tmdb_score,tmdb_popularity,has_any_rating,primary_genre,genre_count,primary_country,country_count
ts90621,Kota Factory,SHOW,2019,2010,TV-MA,39,0,2.0,9.1,69316.0,8.3,9.584,1,drama,2,IN,1
tm451548,The Fable,MOVIE,2019,2010,Not Rated,123,0,,6.5,1838.0,6.5,3.501,1,comedy,2,JP,1
ts223077,Broken,SHOW,2019,2010,Not Rated,60,0,1.0,,,7.3,2.361,1,documentation,1,US,1
tm469008,How High 2,MOVIE,2019,2010,Not Rated,89,0,,3.0,1123.0,6.6,17.294,1,comedy,1,US,1
tm816038,Violet Evergarden: Eternity and the Auto Memories Doll,MOVIE,2019,2010,Not Rated,90,0,,7.4,4692.0,8.2,21.408,1,family,4,JP,1
ts357033,A Love So Beautiful,SHOW,2020,2020,Not Rated,23,0,1.0,,,8.4,73.064,1,comedy,2,KR,1
ts236725,Lenox Hill,SHOW,2020,2020,TV-MA,48,0,1.0,8.6,2311.0,6.8,6.268,1,documentation,1,US,1
tm812916,The Stronghold,MOVIE,2020,2020,Not Rated,105,0,,6.9,10013.0,7.479,100.742,1,crime,4,FR,1
ts255880,Dream Home Makeover,SHOW,2020,2020,TV-G,27,0,3.0,5.6,1101.0,7.6,8.584,1,reality,1,US,1
ts113637,The Alcàsser Murders,SHOW,2019,2010,TV-MA,61,0,1.0,7.1,2127.0,7.4,7.573,1,documentation,2,ES,1
tm845535,Coded Bias,MOVIE,2020,2020,Not Rated,86,0,,6.7,2311.0,7.3,3.365,1,documentation,1,US,3
tm447159,The Kindness of Strangers,MOVIE,2019,2010,Not Rated,114,0,,6.4,3747.0,6.5,8.158,1,drama,2,US,7
ts89119,The Disappearance of Madeleine McCann,SHOW,2019,2010,TV-14,55,0,1.0,6.6,10691.0,6.8,6.571,1,crime,2,GB,1
ts251617,Connected,SHOW,2020,2020,TV-14,44,0,1.0,7.5,1724.0,8.2,4.812,1,documentation,2,US,1
ts103890,The InBESTigators,SHOW,2019,2010,Not Rated,19,0,2.0,8.1,804.0,8.8,7.564,1,comedy,3,AU,1
