person_id,name,role,title_count,avg_imdb_score,avg_tmdb_score
1078,Kerry Cahill,ACTOR,3,6.57,6.63
1079,Scarlett Estevez,ACTOR,1,7.3,
1081,Owen Vaccaro,ACTOR,2,5.7,6.15
1082,Bobby Cannavale,ACTOR,8,6.82,7.05
1084,Paul Scheer,ACTOR,4,6.55,6.48
1085,John Cena,ACTOR,2,3.35,5.2
1088,Eric Kissack,ACTOR,1,6.2,6.0
1092,Adam McKay,ACTOR,1,7.1,6.7
1092,Adam McKay,DIRECTOR,3,7.17,6.99
1112,Paul Rudd,ACTOR,11,6.68,6.38
1113,Nina Dobrev,ACTOR,1,6.3,7.1
1114,Mae Whitman,ACTOR,6,7.07,7.25
1116,Johnny Simmons,ACTOR,2,6.5,6.05
1117,Joan Cusack,ACTOR,5,6.46,6.44
1118,Melanie Lynskey,ACTOR,4,6.48,6.48
1119,Kate Walsh,ACTOR,4,5.12,6.02
1120,Nicholas Braun,ACTOR,1,4.1,5.5
1121,Julia Garner,ACTOR,3,7.65,7.08
1122,Tom Savini,ACTOR,1,8.4,8.15
1127,John Malkovich,ACTOR,8,6.29,6.24
1134,Maika Monroe,ACTOR,2,6.3,6.38
1135,Keir Gilchrist,ACTOR,2,7.55,7.43
1136,Olivia Luccardi,ACTOR,1,6.8,6.56
1138,Lili Sepe,ACTOR,1,6.8,6.56
1140,Bailey Spry,ACTOR,1,6.8,6.56
1141,Jake Weary,ACTOR,3,5.07,6.12
1142,Debbie Williams,ACTOR,1,6.8,6.56
1143,Carollette Phillips,ACTOR,1,6.8,6.56
1144,Loren Bass,ACTOR,2,7.2,7.18
1146,Daniel Zovatto,ACTOR,2,6.55,6.33
1147,Ingrid Mortimer,ACTOR,1,6.8,6.56
1148,Claire Sloma,ACTOR,1,6.8,6.56
1149,Scott Norman,ACTOR,1,6.8,6.56
1150,Joanna Bronson,ACTOR,1,6.8,6.56
1151,Ele Bardha,ACTOR,2,7.2,7.18
1152,Ruby Harris,ACTOR,1,6.8,6.56
1153,Leisa Pulido,ACTOR,2,5.55,6.33
1154,D.J. Oliver,ACTOR,1,6.8,6.56
1155,Charles Gertner,ACTOR,1,6.8,6.56
1157,Kourtney Bell,ACTOR,1,6.8,6.56
1158,Alexyss Spradlin,ACTOR,1,6.8,6.56
1159,Mike Lanier,ACTOR,1,6.8,6.56
1160,Don Hails,ACTOR,1,6.8,6.56
1161,Heather Fairbanks,ACTOR,1,6.8,6.56
